model,sample_id,L,cer_vs_gt,cer_vs_original_whisper,gt_len,hyp_len
lca,BAC009S0768W0355,2,0.2,0.1,10,10
lca,BAC009S0768W0355,3,0.4,0.3,10,10
base,BAC009S0769W0175,1,2.3333333333333335,2.3333333333333335,12,28
base,BAC009S0769W0175,2,0.5,0.5,12,13
base,BAC009S0769W0175,3,0.4166666666666667,0.4166666666666667,12,12
lca,BAC009S0769W0175,1,3.0,3.0,12,36
lca,BAC009S0769W0175,2,0.6666666666666666,0.6666666666666666,12,12
lca,BAC009S0769W0175,3,0.5,0.5,12,12
base,BAC009S0770W0230,1,1.2666666666666666,1.1875,15,20
base,BAC009S0770W0230,2,0.0,0.0625,15,15
base,BAC009S0770W0230,3,0.0,0.0625,15,15
lca,BAC009S0770W0230,1,1.0,1.0,15,9
lca,BAC009S0770W0230,2,0.0,0.0625,15,15
lca,BAC009S0770W0230,3,0.26666666666666666,0.3125,15,15
base,BAC009S0901W0170,1,1.0,1.0,11,12
base,BAC009S0901W0170,2,0.9090909090909091,0.9090909090909091,11,13
base,BAC009S0901W0170,3,0.5454545454545454,0.5454545454545454,11,13
lca,BAC009S0901W0170,1,2.090909090909091,2.090909090909091,11,23
lca,BAC009S0901W0170,2,0.8181818181818182,0.8181818181818182,11,13
lca,BAC009S0901W0170,3,0.45454545454545453,0.45454545454545453,11,11
base,BAC009S0902W0145,1,1.2272727272727273,1.2272727272727273,22,27
base,BAC009S0902W0145,2,0.7272727272727273,0.5909090909090909,22,23
base,BAC009S0902W0145,3,0.22727272727272727,0.2727272727272727,22,23
lca,BAC009S0902W0145,1,0.5909090909090909,0.5909090909090909,22,23
