metric,sample_id,L,channel,v1,v2,v2_minus_v1
mel_l1,311-124404-0119,2,dropout-mid,0.006164550781249889,0.009256005287170188,0.003091454505920299
mel_l1,311-124404-0119,2,substitution-mid,0.0038384199142454944,0.007073044776916393,0.0032346248626708984
mel_l1,311-124404-0119,3,dropout-mid,0.002747058868408203,0.01941978931427002,0.016672730445861816
mel_l1,311-124404-0119,3,substitution-mid,-0.0031942129135131836,0.0020877718925476074,0.005281984806060791
mel_l1,4018-103416-0033,1,dropout-mid,0.0007135272026064232,-0.00416821241378762,-0.004881739616394043
mel_l1,4018-103416-0033,1,substitution-mid,-0.00894367694854703,0.007855355739593728,0.016799032688140758
mel_l1,4018-103416-0033,2,dropout-mid,-0.002759575843811035,0.002821683883666992,0.005581259727478027
mel_l1,4018-103416-0033,2,substitution-mid,-0.010966122150421143,-0.008848845958709717,0.0021172761917114258
mel_l1,4018-103416-0033,3,dropout-mid,-0.00025266408920288086,-0.007247269153594971,-0.00699460506439209
mel_l1,4018-103416-0033,3,substitution-mid,-0.0012916922569274902,0.0035363435745239258,0.004828035831451416
mel_l1,4680-16026-0019,1,dropout-mid,0.006636857986450195,0.0035698413848876953,-0.0030670166015625
mel_l1,4680-16026-0019,1,substitution-mid,-0.0029802322387695312,0.013256788253783958,0.01623702049255349
mel_l1,4680-16026-0019,2,dropout-mid,0.0050618648529053845,0.014727950096130482,0.009666085243225098
mel_l1,4680-16026-0019,2,substitution-mid,-0.011523723602294922,0.0,0.011523723602294922
mel_l1,4680-16026-0019,3,dropout-mid,-0.01097935438156128,-0.007351219654083363,0.0036281347274779163
mel_l1,4680-16026-0019,3,substitution-mid,-0.00012856721878051758,0.024836957454681508,0.024965524673462025
mel_l1,5390-30102-0015,1,dropout-mid,-0.00012731552124045642,0.0003255605697631836,0.00045287609100364
mel_l1,5390-30102-0015,1,substitution-mid,0.0008785724639892578,-0.001568913459777832,-0.00244748592376709
mel_l1,5390-30102-0015,2,dropout-mid,-0.010454893112182617,0.00755399465560902,0.018008887767791637
mel_l1,5390-30102-0015,2,substitution-mid,-0.001616358757019043,0.001481473445892223,0.003097832202911266
mel_l1,5390-30102-0015,3,dropout-mid,0.00588536262512207,0.005130469799041748,-0.0007548928260803223
mel_l1,5390-30102-0015,3,substitution-mid,0.00013333559036277087,-0.0004208087921142578,-0.0005541443824770287
mel_l1,8098-278278-0035,1,dropout-mid,-0.016919374465942605,-0.003095984458923562,0.013823390007019043
mel_l1,8098-278278-0035,1,substitution-mid,-0.003116011619567871,0.01632511615753174,0.01944112777709961
mel_l1,8098-278278-0035,2,dropout-mid,0.007298827171325795,0.00539165735244751,-0.0019071698188782849
mel_l1,8098-278278-0035,2,substitution-mid,0.00021344423294078485,0.005845844745635653,0.005632400512694868
mel_l1,8098-278278-0035,3,dropout-mid,-0.0024088025093078613,0.0009459257125853382,0.0033547282218931995
mel_l1,8098-278278-0035,3,substitution-mid,0.000568687915802002,0.001710653305053711,0.001141965389251709
mel_l1,8838-298545-0037,1,dropout-mid,-0.004376173019409402,0.004033684730530229,0.008409857749939631
mel_l1,8838-298545-0037,1,substitution-mid,-0.00021839141845703125,0.00778162479400657,0.008000016212463601
mel_l1,8838-298545-0037,2,dropout-mid,-0.007294654846191406,0.009393095970153809,0.016687750816345215
mel_l1,8838-298545-0037,2,substitution-mid,-4.1484832763671875e-05,0.003438711166381392,0.0034801959991450637
mel_l1,8838-298545-0037,3,dropout-mid,0.0058245062828063965,0.00186353921890281,-0.0039609670639035865
mel_l1,8838-298545-0037,3,substitution-mid,0.0021795034408568226,0.005806148052215576,0.0036266446113587536
