version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,pesq_wb,higher,4680-16026-0019,2,substitution-mid,0.24418091773986816,0.42832350730895996,-0.1841425895690918
v1,pesq_wb,higher,4680-16026-0019,3,dropout-low,0.08759665489196822,0.09167051315307617,-0.004073858261107954
v1,pesq_wb,higher,4680-16026-0019,3,dropout-mid,0.16726326942443892,0.023413419723510742,0.14384984970092818
v1,pesq_wb,higher,4680-16026-0019,3,substitution-low,0.3489153385162358,0.22456526756286577,0.12435007095337003
v1,pesq_wb,higher,4680-16026-0019,3,substitution-mid,0.04123067855835005,0.10706138610839844,-0.06583070755004838
v1,pesq_wb,higher,8098-278278-0035,1,dropout-low,0.018921852111816406,0.029313683509826438,-0.010391831398010032
v1,pesq_wb,higher,8098-278278-0035,1,dropout-mid,0.025189876556396484,0.034692049026489036,-0.009502172470092551
v1,pesq_wb,higher,8098-278278-0035,1,substitution-low,-0.0003679990768430397,0.002187848091125044,-0.002555847167968084
v1,pesq_wb,higher,8098-278278-0035,1,substitution-mid,0.008660435676574707,0.002830028533935325,0.005830407142639382
v1,pesq_wb,higher,8098-278278-0035,2,dropout-low,0.026611685752868652,0.04061400890350342,-0.014002323150634766
v1,pesq_wb,higher,8098-278278-0035,2,dropout-mid,0.0932241678237915,0.09309089183807395,0.0001332759857175514
v1,pesq_wb,higher,8098-278278-0035,2,substitution-low,0.02167177200317405,0.024617671966552734,-0.002945899963378684
v1,pesq_wb,higher,8098-278278-0035,2,substitution-mid,0.00631403923034668,0.006990909576416016,-0.0006768703460693359
v1,pesq_wb,higher,8098-278278-0035,3,dropout-low,0.05005145072937012,0.0315474271774292,0.018504023551940918
v1,pesq_wb,higher,8098-278278-0035,3,dropout-mid,0.07053756713867188,0.05445969104766846,0.016077876091003418
