method,model,L,codec_setting,sample_id,duration_sec,ideal_bitrate_bps,packed_payload_bytes,packed_payload_bps,packetized_payload_bytes,packetized_payload_bps,overhead_ratio_vs_ideal,bits_per_code,num_indices
scit_base,scit_base,3,L=3,4018-103416-0033,15.13,1500,2839,1501.123595505618,2855,1509.5836087243886,0.006389072482925712,10,2271
scit_lca,scit_lca,1,L=1,4018-103416-0033,15.13,500,947,500.7270323859881,963,509.18704560475874,0.018374091209517475,10,757
scit_lca,scit_lca,2,L=2,4018-103416-0033,15.13,1000,1893,1000.9253139458029,1909,1009.3853271645736,0.009385327164573597,10,1514
scit_lca,scit_lca,3,L=3,4018-103416-0033,15.13,1500,2839,1501.123595505618,2855,1509.5836087243886,0.006389072482925712,10,2271
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,4018-103416-0033,15.13,256000,484160,256000,484160,256000,0.0,,
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,4018-103416-0033,15.13,1500.0,2838,1500.5948446794448,2854,1509.0548578982155,0.006036571932143639,10,2270
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,4018-103416-0033,15.13,3000.0,5675,3000.6609385327165,5691,3009.120951751487,0.003040317250495718,10,4540
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,4018-103416-0033,15.13,6000.0,11350,6001.321877065433,11366,6009.781890284204,0.001630315047367276,10,9080
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,4018-103416-0033,15.13,12000.0,22700,12002.643754130866,22716,12011.103767349636,0.0009253139458029788,10,18160
dac,dac_16khz,1,n_q_1,4018-103416-0033,15.13,500.7270323859881,947,500.7270323859881,963,509.18704560475874,0.016895459345300953,10,757
dac,dac_16khz,2,n_q_2,4018-103416-0033,15.13,1000.9253139458029,1893,1000.9253139458029,1909,1009.3853271645736,0.00845219228737454,10,1514
dac,dac_16khz,3,n_q_3,4018-103416-0033,15.13,1501.123595505618,2839,1501.123595505618,2855,1509.5836087243886,0.00563578724903135,10,2271
dac,dac_16khz,4,n_q_4,4018-103416-0033,15.13,2001.3218770654328,3785,2001.3218770654328,3801,2009.7818902842034,0.004227212681638046,10,3028
dac,dac_16khz,6,n_q_6,4018-103416-0033,15.13,3002.247191011236,5678,3002.247191011236,5694,3010.7072042300065,0.002817893624515675,10,4542
dac,dac_16khz,9,n_q_9,4018-103416-0033,15.13,4503.3707865168535,8517,4503.3707865168535,8533,4511.830799735624,0.0018785957496771167,10,6813
dac,dac_16khz,12,n_q_12,4018-103416-0033,15.13,6003.965631196298,11355,6003.965631196298,11371,6012.425644415069,0.0014090708938793485,10,9084
scit_base,scit_base,1,L=1,1737-148989-0006,10.69,500,669,500.6548175865295,685,512.6286248830683,0.02525724976613651,10,535
scit_base,scit_base,2,L=2,1737-148989-0006,10.69,1000,1338,1001.309635173059,1354,1013.2834424695978,0.013283442469597844,10,1070
scit_base,scit_base,3,L=3,1737-148989-0006,10.69,1500,2007,1501.9644527595885,2023,1513.9382600561273,0.009292173370751547,10,1605
scit_lca,scit_lca,1,L=1,1737-148989-0006,10.69,500,669,500.6548175865295,685,512.6286248830683,0.02525724976613651,10,535
